225,10,0,-4,4
225,-4.9,-4.9,0,5
225,-5,-9,0,10
225,-1,3,1,0
225,-1,2,4,2
225,0,2,4.1,6
225,0,-10,4.9,-5
225,-4.1,-5,4.9,5
225,10,-9.9,5,9.9
225,-8,-5,5,10
225,0,7.1,6,2
225,-3,-10,6,3
225,5,10,7,3
225,2,-5,7,4.9
225,-3,7.9,7,5
225,-2,0.1,7,7
225,-6,6,8,6.1
225,5,-3,8,7
225,5,3,8,9.1
225,-10,0.1,10,5
225,0.1,5,10,7
225,4,-10,10,8
300,9.5,-10,-10,9.9
300,-9.9,-10,-9.9,10
300,0,-1.9,-1,-1
300,0,-0.1,0,0.1
300,5,-8,0,3
300,10,-7.9,0,4
300,9,3.1,0,6
300,7.9,0,0,9
300,-7.5,-2,2,4
300,2,4,2.1,3
300,9,-8,2.9,0
300,-5,6,3,2
300,1,-6.1,3.1,3
300,5,3.1,4,0
300,10,-9.9,4,9.9
300,0.1,0.1,5,0
300,-1.5,6.4,5.4,5.4
300,-2.5,5.5,5.5,6.5
300,-5,1,7,1
300,3,5,7,2
300,-1,10,8,4.1
300,-10,9.9,10,-10
300,-10,9,9.9,9.9
366,0,-8,-6,10
366,-3.1,0,-3,0.1
366,0,-4.1,-0.1,0.1
366,-2,3,0,4.9
366,-0.1,0,2.1,5.1
366,1,-5.9,2.9,0.1
366,4,2,3.9,-5
366,0.1,-0.1,4,1
366,9,-4,5.1,1
366,-2,1,5,3
366,0,-1,6,3.1
366,-7,7.1,7.1,7.1
366,0,-5.1,8,8
366,2,5,8,8.1
431,-10,-9.9,-10,-10
431,9.9,-9.9,-6,3
431,-5,-7,-5.1,7
431,7,-2,-1,3
431,-7,-1,0,6.9
431,7,-9,2,5
431,-7,-1,2,7.1
431,-5,-10,3,7
431,3,3.9,3.9,1
431,2,-10,3.9,3.9
431,-6,7,4,4.1
431,0,-7,4.9,0
431,9.8,-9.8,5,0.1
431,9.1,6,5,4.1
431,5.1,5.1,5.1,5.1
431,0,6.9,6,5
431,0,-4,6,6
431,-3,5,6,7
431,-8,8,7.1,-5
431,-8,5.9,7.9,5.9
431,7,-7,8,6
431,-8,0.1,8,7.1
431,-5,5,9.9,0.1
431,-3,8,9.9,9.9
431,-9.9,10,10,5.1
431,10,10,10,10
450,9.9,-10,-5,0
450,-6,-7,-5,8.1
450,3,0.1,-3.1,0
450,5,-5,-2.9,0
450,0,0,0,0
450,0,0.1,0.1,-0.1
450,8.1,0,2.1,6.9
450,8,-7,3,6
450,,-1,5,5
450,3,4.1,5,5.1
450,0.15,0,5,7.1
450,3,1,6,5.1
450,0,-5.5,10,0
458,-10,-8,-6.1,6.9
458,2,-7,-2,5.9
458,1,5,-1,-7
458,10,0.1,0,8
458,-10,7,2,9
458,-8,-8,3.9,2
458,-10,0,4,7
458,6,5,4.9,6
458,10,-8.1,5,1
458,0,4.9,5.1,3
458,-7,7,5,6
458,-3,0,6.1,3
458,-8,0,10,-1
464,-10,-9.9,-9,10
464,8,-7.9,-3,0
464,-4,-5,0,2
464,-8,-10,0,9.8
464,0,-9.9,3,3
464,,3,3.1,3.1
464,-2,-8,3,8
464,-0.1,0.1,3.1,2
464,0.1,0,3.9,2
464,-5,-8,3.9,4
464,9,-5,4.1,8.1
464,-4,-7,5,4
464,-0.1,-4.9,4.9,4.9
464,-5,0,8,-0.1
464,3,-2.9,8,4
464,0,2.1,8,9
464,-10,-7,10,4.9
464,10,-3,10,9.9
464,0,0.15,9.8,10
466,10,-2.9,-6,-3
466,9,0,-5,5
466,10,-6,-2,5
466,4,-4,-2,7
466,6,-2,0,-2
466,-1.9,2,0,1
466,-0.1,-0.1,0.1,5.1
466,10,-5,1.1,5.1
466,5,1,2.9,3.1
466,2,3.1,3,6.1
466,-3,7,4.1,2
466,5,-5.1,4.9,5
466,5,5,5.1,0
466,6,-8,6,10
466,-10,8,7.1,-5
466,-4,-8,8,7.9
466,5,-9,9,6
466,-5,4,9,9
476,10,-5.1,-2,7.9
476,0,-4.9,1,-6
476,4,-2,1,10
476,2,1,1.9,4.1
476,0.15,0.1,3,2.9
476,0,4,3,4.1
476,0,-2.1,4,4
476,-7,6.9,4.1,5.9
476,3,-7,4.1,8
476,0,5,5.1,3.2
476,0,-5,5.1,7.9
476,-2,4,6.1,6.1
476,-1,8,6.9,6
476,-7,-3,7,5
476,9,8,7,8
476,7,0,7.1,7
476,0,-3,7.9,8.1
476,0.1,0.15,8,5
476,9,-10,8,
476,0,6.1,8.1,6.1
476,-7.9,-7.9,9.5,0
476,-7.9,0,9.9,-1.1
581,8,-10,-2,4
581,4,0,1.9,4
581,-3,0.1,2.9,4.9
581,,,3,-3
581,0,-2,3,3.1
581,0,-0.1,3,8.1
581,-0.1,5,4,-3
581,-0.1,-5,4,3.1
581,8.5,5,7.1,6.1
